1.02925,
1069.58,0,811.536,0,1069.58,268.914,0,0,1,
-0.245039,1.45808,-0.00162503,0.0838575,-2.13089,
-3.03727,-0.0948151,-0.9185,<sep>,-196.338,-42.6978,376.426,<sep>,
3.00398,0.155148,0.851252,<sep>,-165.159,-46.5229,394.423,<sep>,
2.87539,-0.0131617,0.487285,<sep>,-185.006,-48.6234,415.501,<sep>,
2.89172,-0.0236937,0.463213,<sep>,-183.39,-54.4324,410.69,<sep>,
2.91934,-0.0316132,0.437675,<sep>,-182.33,-60.2672,407.434,<sep>,
2.94137,-0.0355478,0.417917,<sep>,-182.663,-64.0238,406.548,<sep>,
3.04068,-0.0466806,0.32397,<sep>,-189.036,-68.5485,409.606,<sep>,
-3.11825,0.0629369,-0.237362,<sep>,-193.65,-66.7518,413.798,<sep>,
-3.09291,0.063221,-0.218028,<sep>,-192.948,-65.9751,412.641,<sep>,
-3.04278,0.0593362,-0.210757,<sep>,-192.307,-65.0064,408.795,<sep>,
-3.02446,0.0580382,-0.216699,<sep>,-191.937,-64.9839,406.637,<sep>,
